track_id,parent_id,start_frame,end_frame,morphology_class,area,length,width,centroid_x,centroid_y
1494,709,13,24,Divided,548.25,41.15,18.02,710.4,604.39
1496,709,13,22,Divided,670.12,43.52,22.3,696.47,631.26
1498,0,13,32,,853.95,68.49,17.49,132.09,740.13
1501,0,13,36,Divided,772.0,52.94,22.58,726.08,726.02
1503,0,13,15,,2507.67,181.92,47.07,903.57,771.56
1505,0,13,18,,2586.0,191.73,39.23,1076.63,754.12
1510,0,13,13,Divided,512.0,34.52,21.35,1134.91,891.99
1511,0,13,13,Divided,443.0,41.75,13.79,653.04,894.37
1512,0,13,32,,1198.31,81.99,22.58,959.16,852.2
1513,0,13,23,Divided,821.3,60.48,17.16,562.87,879.87
1514,0,13,21,Divided,447.83,39.1,15.07,956.9,975.74
1516,0,13,14,Divided,647.5,47.22,17.35,846.36,980.66
1517,0,13,15,Divided,370.67,27.12,17.78,769.83,1024.75
1518,0,13,33,Divided,577.44,36.73,21.58,1366.59,1019.88
1519,0,13,28,Divided,706.64,50.66,20.18,480.48,972.41
1520,0,13,21,Divided,435.44,39.21,14.76,567.7,1009.31
1521,0,13,19,Divided,531.0,41.01,16.64,638.78,1025.37
1522,0,13,36,,1635.78,118.15,19.56,529.36,993.34
1523,0,13,35,Divided,637.09,48.8,17.5,473.92,998.07
1524,0,14,17,,1185.67,74.74,24.29,158.51,71.93
1527,0,14,31,,1301.38,86.61,22.75,393.0,154.81
1528,1159,14,25,,732.11,64.23,14.49,1185.31,179.68
1529,0,14,25,Divided,413.25,34.61,17.26,244.03,210.05
1531,0,14,18,Divided,1074.6,84.5,17.73,1326.21,197.53
1532,0,14,14,Divided,552.0,44.22,16.53,729.81,197.55
1533,0,14,30,,276.88,22.14,16.41,121.66,214.93
1534,1159,14,18,,812.75,71.56,14.83,1180.93,201.5
1537,0,14,15,Divided,505.0,41.42,21.47,887.17,236.72
1541,0,14,15,,257.0,23.55,14.19,1178.09,255.69
1542,0,14,26,,620.11,45.29,18.19,715.74,279.22
1546,0,14,14,,294.0,22.37,16.83,1327.23,361.87
1548,0,14,14,Elongated,4088.0,344.22,19.41,490.26,433.27
1550,0,14,14,Divided,380.0,37.27,13.83,1118.22,411.48
1553,0,14,19,,1305.17,97.98,17.54,997.78,427.65
1554,0,14,36,,535.05,40.47,17.27,1130.43,439.46
1557,0,14,18,,609.4,48.24,15.86,1059.96,509.24
1560,0,14,21,,1006.71,64.5,25.43,733.54,565.77
1561,0,14,18,,1373.0,72.48,24.92,794.17,550.33
1562,274,14,20,,1496.43,77.74,24.97,921.15,579.04
1565,0,14,14,,218.0,24.96,11.9,1164.4,657.96
1566,0,14,15,,2377.0,144.43,30.46,849.17,710.81
1568,0,14,19,,3854.5,260.84,53.07,928.49,705.82
1569,0,14,16,,644.0,72.23,22.59,1379.71,765.23
1571,0,14,32,,1306.5,103.28,17.59,1086.78,810.85
1573,0,14,14,,1558.0,97.43,31.34,756.92,790.94
1574,0,14,20,,882.0,88.61,13.46,1201.41,723.24
1575,0,14,15,,246.0,19.95,15.88,927.65,777.73
1576,0,14,16,Divided,495.33,43.65,15.3,107.2,798.64
1577,0,14,14,Elongated,3816.0,306.92,35.3,972.29,810.39
1578,0,14,15,,399.0,44.92,11.63,920.57,795.95
1579,0,14,14,,1421.0,59.96,43.86,1365.9,812.82
1580,0,14,36,,883.53,49.82,23.78,644.68,752.23
1583,0,14,19,Divided,549.0,51.34,15.17,1227.07,873.25
1586,0,14,18,,771.67,69.16,14.85,808.1,900.66
1587,614,14,26,Elongated,2557.29,208.51,29.88,1011.93,802.91
1588,0,14,14,,863.0,62.41,18.15,598.62,919.03
1590,0,14,14,,2261.0,152.22,21.1,943.77,932.68
1591,0,14,36,Divided,679.46,51.99,17.58,1082.21,915.17
1594,0,14,18,Divided,501.8,35.58,17.99,856.69,956.01
1596,0,14,17,,650.5,49.47,17.03,839.81,973.89
1597,548,14,29,,700.08,52.63,18.01,419.85,924.86
1598,0,14,16,Divided,553.0,39.68,18.16,668.5,972.57
1599,548,14,24,Divided,625.55,50.32,15.97,381.83,962.73
1600,0,14,14,,507.0,58.92,14.37,755.46,995.5
1602,0,14,20,Divided,830.2,59.92,20.21,718.05,998.51
